scenario,policy_family,K,load_reuse,exact_reuse,sketch_reuse,sketch_reuse_gain_capture,load_ttft_p95_ms,exact_ttft_p95_ms,sketch_ttft_p95_ms,sketch_ttft_gain_capture,exact_metadata_B,sketch_metadata_B,sketch_metadata_vs_exact,writing_guidance
remap_restart,slo_affinity,4,0.859,0.871,0.864,0.4167,150.0,150.0,150.0,n/a,11328,8896,0.7853,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,slo_affinity,8,0.859,0.871,0.87,0.9167,150.0,150.0,150.0,n/a,11328,10944,0.9661,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,slo_affinity,16,0.859,0.871,0.869,0.8333,150.0,150.0,150.0,n/a,11328,11456,1.0113,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,dualmap,2,0.853,0.864,0.874,1.9091,150.0,150.0,150.0,n/a,11776,6592,0.5598,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,dualmap,4,0.853,0.864,0.876,2.0909,150.0,150.0,150.0,n/a,11776,8832,0.75,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,dualmap,8,0.853,0.864,0.871,1.6364,150.0,150.0,150.0,n/a,11776,10816,0.9185,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,dualmap,16,0.853,0.864,0.868,1.3636,150.0,150.0,150.0,n/a,11776,11520,0.9783,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,power2,2,0.555,0.872,0.799,0.7697,150.0,150.0,150.0,n/a,11264,6720,0.5966,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,power2,4,0.555,0.872,0.846,0.918,150.0,150.0,150.0,n/a,11264,9664,0.858,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,power2,8,0.555,0.872,0.874,1.0063,150.0,150.0,150.0,n/a,11264,10944,0.9716,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,power2,16,0.555,0.872,0.885,1.041,150.0,150.0,150.0,n/a,11264,10432,0.9261,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,slo_affinity,2,0.866,0.868,0.875,4.5,150.0,150.0,150.0,n/a,11520,6400,0.5556,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,slo_affinity,4,0.866,0.868,0.873,3.5,150.0,150.0,150.0,n/a,11520,8640,0.75,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,slo_affinity,8,0.866,0.868,0.875,4.5,150.0,150.0,150.0,n/a,11520,10944,0.95,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,slo_affinity,16,0.866,0.868,0.876,5.0,150.0,150.0,150.0,n/a,11520,11008,0.9556,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
