scenario,policy_family,K,load_reuse,exact_reuse,sketch_reuse,sketch_reuse_gain_capture,load_ttft_p95_ms,exact_ttft_p95_ms,sketch_ttft_p95_ms,sketch_ttft_gain_capture,exact_metadata_B,sketch_metadata_B,sketch_metadata_vs_exact,writing_guidance
remap_restart,dualmap,16,0.8654,0.9407,0.9367,0.9469,150.0,150.0,150.0,n/a,54912,50048,0.9114,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,power2,2,0.7167,0.9403,0.8682,0.6775,150.0,150.0,150.0,n/a,55104,14016,0.2544,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,power2,4,0.7167,0.9403,0.9006,0.8225,150.0,150.0,150.0,n/a,55104,21504,0.3902,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,power2,8,0.7167,0.9403,0.9273,0.9419,150.0,150.0,150.0,n/a,55104,33984,0.6167,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,power2,16,0.7167,0.9403,0.9367,0.9839,150.0,150.0,150.0,n/a,55104,48768,0.885,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,slo_affinity,2,0.8665,0.941,0.8993,0.4403,150.0,150.0,150.0,n/a,54976,14016,0.2549,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,slo_affinity,4,0.8665,0.941,0.9151,0.6523,150.0,150.0,150.0,n/a,54976,21440,0.39,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,slo_affinity,8,0.8665,0.941,0.9299,0.851,150.0,150.0,150.0,n/a,54976,33728,0.6135,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,slo_affinity,16,0.8665,0.941,0.9365,0.9396,150.0,150.0,150.0,n/a,54976,49856,0.9069,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,dualmap,2,0.9424,0.944,0.9432,0.5,150.0,150.0,150.0,n/a,59904,14016,0.234,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,dualmap,4,0.9424,0.944,0.9429,0.3125,150.0,150.0,150.0,n/a,59904,20928,0.3494,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,dualmap,8,0.9424,0.944,0.9426,0.125,150.0,150.0,150.0,n/a,59904,33024,0.5513,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,dualmap,16,0.9424,0.944,0.9426,0.125,150.0,150.0,150.0,n/a,59904,51456,0.859,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,power2,2,0.7303,0.9434,0.8754,0.6809,150.0,150.0,150.0,n/a,60480,14144,0.2339,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,power2,4,0.7303,0.9434,0.9047,0.8184,150.0,150.0,150.0,n/a,60480,21248,0.3513,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,power2,8,0.7303,0.9434,0.931,0.9418,150.0,150.0,150.0,n/a,60480,34624,0.5725,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,power2,16,0.7303,0.9434,0.9419,0.993,150.0,150.0,150.0,n/a,60480,51008,0.8434,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,slo_affinity,2,0.9427,0.9444,0.9428,0.0588,150.0,150.0,150.0,n/a,59520,13952,0.2344,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,slo_affinity,4,0.9427,0.9444,0.9431,0.2353,150.0,150.0,150.0,n/a,59520,21120,0.3548,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,slo_affinity,8,0.9427,0.9444,0.944,0.7647,150.0,150.0,150.0,n/a,59520,33472,0.5624,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
stable,slo_affinity,16,0.9427,0.9444,0.9444,1.0,150.0,150.0,150.0,n/a,59520,51648,0.8677,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
